
=============================================
STARTING Stage1_Foundation
Episodes: 10000 | LR: 0.0001
Global Episode Offset: 0
=============================================
[ENV] On-the-fly curve generation enabled (base_seed=42)
[Stage1_Foundation] Ep 100 | Avg Rew: -30.05 | Success: 0.00
[Stage1_Foundation] Ep 200 | Avg Rew: -9.23 | Success: 0.01
[Stage1_Foundation] Ep 300 | Avg Rew: -10.16 | Success: 0.00
[Stage1_Foundation] Ep 400 | Avg Rew: -10.37 | Success: 0.00
[Stage1_Foundation] Ep 500 | Avg Rew: -11.15 | Success: 0.00
[Stage1_Foundation] Ep 600 | Avg Rew: -10.96 | Success: 0.00
[Stage1_Foundation] Ep 700 | Avg Rew: -9.23 | Success: 0.01
[Stage1_Foundation] Ep 800 | Avg Rew: -11.11 | Success: 0.00
[Stage1_Foundation] Ep 900 | Avg Rew: -9.86 | Success: 0.03
[Stage1_Foundation] Ep 1000 | Avg Rew: -9.16 | Success: 0.04
[Stage1_Foundation] Ep 1100 | Avg Rew: -10.08 | Success: 0.03
[Stage1_Foundation] Ep 1200 | Avg Rew: -7.84 | Success: 0.07
[Stage1_Foundation] Ep 1300 | Avg Rew: -3.66 | Success: 0.14
[Stage1_Foundation] Ep 1400 | Avg Rew: 1.12 | Success: 0.20
[Stage1_Foundation] Ep 1500 | Avg Rew: 1.33 | Success: 0.22
[Stage1_Foundation] Ep 1600 | Avg Rew: 5.80 | Success: 0.21
[Stage1_Foundation] Ep 1700 | Avg Rew: 5.41 | Success: 0.24
[Stage1_Foundation] Ep 1800 | Avg Rew: 2.70 | Success: 0.17
[Stage1_Foundation] Ep 1900 | Avg Rew: 9.55 | Success: 0.27
[Stage1_Foundation] Ep 2000 | Avg Rew: 5.29 | Success: 0.20
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/Experiment4_separate_stop_v2/runs/20260104_191150/checkpoints/ckpt_Stage1_Foundation_ep2000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/Experiment4_separate_stop_v2/runs/20260104_191150/checkpoints/actor_Stage1_Foundation_ep2000.pth
[Stage1_Foundation] Ep 2100 | Avg Rew: 6.19 | Success: 0.26
[Stage1_Foundation] Ep 2200 | Avg Rew: 5.56 | Success: 0.22
[Stage1_Foundation] Ep 2300 | Avg Rew: 4.50 | Success: 0.23
[Stage1_Foundation] Ep 2400 | Avg Rew: 10.37 | Success: 0.32
[Stage1_Foundation] Ep 2500 | Avg Rew: 8.88 | Success: 0.22
[Stage1_Foundation] Ep 2600 | Avg Rew: 8.73 | Success: 0.28
[Stage1_Foundation] Ep 2700 | Avg Rew: 10.75 | Success: 0.29
[Stage1_Foundation] Ep 2800 | Avg Rew: 6.88 | Success: 0.25
[Stage1_Foundation] Ep 2900 | Avg Rew: 6.01 | Success: 0.25
[Stage1_Foundation] Ep 3000 | Avg Rew: 14.33 | Success: 0.31
[Stage1_Foundation] Ep 3100 | Avg Rew: 7.85 | Success: 0.26
[Stage1_Foundation] Ep 3200 | Avg Rew: 5.49 | Success: 0.24
[Stage1_Foundation] Ep 3300 | Avg Rew: 2.35 | Success: 0.19
[Stage1_Foundation] Ep 3400 | Avg Rew: 5.16 | Success: 0.25
[Stage1_Foundation] Ep 3500 | Avg Rew: 12.89 | Success: 0.29
[Stage1_Foundation] Ep 3600 | Avg Rew: 4.79 | Success: 0.19
[Stage1_Foundation] Ep 3700 | Avg Rew: 11.50 | Success: 0.25
[Stage1_Foundation] Ep 3800 | Avg Rew: 16.61 | Success: 0.32
[Stage1_Foundation] Ep 3900 | Avg Rew: 11.94 | Success: 0.29
[Stage1_Foundation] Ep 4000 | Avg Rew: 19.43 | Success: 0.35
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/Experiment4_separate_stop_v2/runs/20260104_191150/checkpoints/ckpt_Stage1_Foundation_ep4000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/Experiment4_separate_stop_v2/runs/20260104_191150/checkpoints/actor_Stage1_Foundation_ep4000.pth
[Stage1_Foundation] Ep 4100 | Avg Rew: 21.16 | Success: 0.35
[Stage1_Foundation] Ep 4200 | Avg Rew: 12.77 | Success: 0.26
[Stage1_Foundation] Ep 4300 | Avg Rew: 20.55 | Success: 0.29
