
=============================================
STARTING Stage1_Foundation
Episodes: 10000 | LR: 0.0001
Global Episode Offset: 0
=============================================
[ENV] On-the-fly curve generation enabled (base_seed=42)
   Episode 119 | Return: -13.04 | Stop Success: 0
   Episode 120 | Return: -13.86 | Stop Success: 0
   Episode 121 | Return: -9.83 | Stop Success: 0
   Episode 122 | Return: -2.99 | Stop Success: 0
   Episode 123 | Return: -13.62 | Stop Success: 0
   Episode 124 | Return: -9.61 | Stop Success: 0
   Episode 125 | Return: -16.18 | Stop Success: 0
   Episode 126 | Return: 1.16 | Stop Success: 0
   Episode 127 | Return: -17.13 | Stop Success: 0
   Episode 128 | Return: -8.53 | Stop Success: 0
   Episode 129 | Return: -15.00 | Stop Success: 0
   Episode 130 | Return: -10.56 | Stop Success: 0
   Episode 131 | Return: -7.43 | Stop Success: 0
   Episode 132 | Return: -14.69 | Stop Success: 0
   Episode 133 | Return: -10.58 | Stop Success: 0
   Episode 134 | Return: -10.93 | Stop Success: 0
   Episode 135 | Return: -7.62 | Stop Success: 0
   Episode 136 | Return: -8.33 | Stop Success: 0
   Episode 137 | Return: -11.79 | Stop Success: 0
   Episode 138 | Return: -11.26 | Stop Success: 0
   Episode 139 | Return: -7.13 | Stop Success: 0
   Episode 140 | Return: -11.61 | Stop Success: 0
   Episode 141 | Return: 0.08 | Stop Success: 0
   Episode 142 | Return: -3.05 | Stop Success: 0
   Episode 143 | Return: -10.67 | Stop Success: 0
   Episode 144 | Return: -10.62 | Stop Success: 0
   Episode 145 | Return: -13.11 | Stop Success: 0
   Episode 146 | Return: -17.54 | Stop Success: 0
   Episode 147 | Return: -19.55 | Stop Success: 0
   Episode 148 | Return: -15.40 | Stop Success: 0
   Episode 149 | Return: -8.35 | Stop Success: 0
   Episode 150 | Return: -4.73 | Stop Success: 0
   Episode 151 | Return: -15.24 | Stop Success: 0
   Episode 152 | Return: -13.49 | Stop Success: 0
   Episode 153 | Return: -13.15 | Stop Success: 0
   Episode 154 | Return: -8.13 | Stop Success: 0
   Episode 155 | Return: 2.17 | Stop Success: 0
   Episode 156 | Return: -10.30 | Stop Success: 0
   Episode 157 | Return: -6.76 | Stop Success: 0
   Episode 158 | Return: 3.61 | Stop Success: 0
   Episode 159 | Return: -6.63 | Stop Success: 0
   Episode 160 | Return: -5.93 | Stop Success: 0
