
=============================================
STARTING Stage1
Episodes: 15000 | LR: 0.0001
Global Episode Offset: 0
=============================================
[ENV] On-the-fly curve generation enabled (base_seed=50)
[Stage1] Ep 7200 | Avg Rew: 148.44 | Success: 0.46
[Stage1] Ep 7300 | Avg Rew: 173.94 | Success: 0.51
[Stage1] Ep 7400 | Avg Rew: 211.63 | Success: 0.59
[Stage1] Ep 7500 | Avg Rew: 194.15 | Success: 0.52
[Stage1] Ep 7600 | Avg Rew: 184.87 | Success: 0.50
[Stage1] Ep 7700 | Avg Rew: 181.56 | Success: 0.41
[Stage1] Ep 7800 | Avg Rew: 177.21 | Success: 0.50
[Stage1] Ep 7900 | Avg Rew: 161.11 | Success: 0.56
[Stage1] Ep 8000 | Avg Rew: 200.89 | Success: 0.56
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/New_Generator/EXPERIMENT_1/runs/20260113_223208/checkpoints/ckpt_Stage1_ep8000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/New_Generator/EXPERIMENT_1/runs/20260113_223208/checkpoints/actor_Stage1_ep8000.pth
[Stage1] Ep 8100 | Avg Rew: 197.31 | Success: 0.56
[Stage1] Ep 8200 | Avg Rew: 191.49 | Success: 0.56
[Stage1] Ep 8300 | Avg Rew: 193.73 | Success: 0.50
[Stage1] Ep 8400 | Avg Rew: 215.74 | Success: 0.64
[Stage1] Ep 8500 | Avg Rew: 221.84 | Success: 0.58
[Stage1] Ep 8600 | Avg Rew: 216.03 | Success: 0.67
[Stage1] Ep 8700 | Avg Rew: 221.04 | Success: 0.65
[Stage1] Ep 8800 | Avg Rew: 243.61 | Success: 0.67
[Stage1] Ep 8900 | Avg Rew: 254.25 | Success: 0.71
[Stage1] Ep 9000 | Avg Rew: 247.47 | Success: 0.76
[Stage1] Ep 9100 | Avg Rew: 244.47 | Success: 0.64
[Stage1] Ep 9200 | Avg Rew: 213.48 | Success: 0.66
[Stage1] Ep 9300 | Avg Rew: 188.53 | Success: 0.68
[Stage1] Ep 9400 | Avg Rew: 208.32 | Success: 0.51
[Stage1] Ep 9500 | Avg Rew: 191.01 | Success: 0.52
[Stage1] Ep 9600 | Avg Rew: 205.32 | Success: 0.62
[Stage1] Ep 9700 | Avg Rew: 203.97 | Success: 0.55
[Stage1] Ep 9800 | Avg Rew: 193.52 | Success: 0.62
[Stage1] Ep 9900 | Avg Rew: 211.59 | Success: 0.58
[Stage1] Ep 10000 | Avg Rew: 186.78 | Success: 0.48
Checkpoint saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/New_Generator/EXPERIMENT_1/runs/20260113_223208/checkpoints/ckpt_Stage1_ep10000.pth
Actor-only weights saved: /home/mahsa.geshvadi001/New_Projects/DSA-RL-Tracker/EXPERIMENTS/New_Generator/EXPERIMENT_1/runs/20260113_223208/checkpoints/actor_Stage1_ep10000.pth
[Stage1] Ep 10100 | Avg Rew: 236.32 | Success: 0.64
[Stage1] Ep 10200 | Avg Rew: 196.49 | Success: 0.51
